prompt,completion
菜包 熱量為 200 大卡,"
大約 1 小時的有氧運動即可消耗 200 大卡的熱量。"
鮮 肉包 熱量為 210 大卡,"

大約 1 小時五分鐘的有氧運動可消耗 210 大卡的熱量。"
主麥 麵 包 熱量為 294 太卡,"

大約 1 小時二十五分鐘的有氧運動可消耗 294 大卡的熱量。"
火腹 沙拉 三明治 熱量為 210 太卡,"

約 1 小時的有氧運動可消耗 210 大卡的熱量。"
田園 櫥 雞 三明治 熱量為 235 大卡,"

約 1.5 小時的有氧運動可消耗 235 大卡的熱量。"
叉燒 烤 香 三明治 熱量為 238 大卡,"

約 1.6 小時的有氧運動可消耗 238 大卡的熱量。"
海鮮 總匯 三明治 熱量為 215 太卡,"

約 1.4 小時的有氧運動可消耗 215 大卡的熱量。"
葡萄 堅果雜 糧夷包 熱量為 174 大卡,"

大約 1 小時的有氧運動才能消耗 174 大卡的熱量。"
黃 金 地瓜 雜得 夷 包 熱量為 224 大卡,"

大約 1.5 小時的有氧運動才能消耗 224 大卡的熱量。"
杯 雞 麵 包 熱量為 225 大卡,"

大約 1.5 小時的有氧運動才能消耗 225 大卡的熱量。"
南瓜 野菜 蒸蛋 糯 熱量為 262 大卡,"

大約 2 小時的有氧運動才能消耗 262 大卡的熱量。"
番茄 肉臨 御 飯絆 熱量為 213 大卡,"

大約 1.5 小時的有氧運動才能消耗 213 大卡的熱量。"
義式 香草 雞肉 筒 伯 和 轎 熱量為 188 大卡,"

大約 1.3 小時的有氧運動才能消耗 188 大卡的熱量。"
莉 爆 牛肉 御飯 神 熱量為 175 大卡,"

大約 1.2 小時的有氧運動才能消耗 175 大卡的熱量。"
