,item,sentence,prompt,responseText,finish_reason
0,菜包;200大卡,菜包 熱量為 200 大卡,菜包 熱量為 200 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"
大約 1 小時的有氧運動即可消耗 200 大卡的熱量。",stop
1,鮮肉包:210大卡,鮮 肉包 熱量為 210 大卡,鮮 肉包 熱量為 210 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 1 小時五分鐘的有氧運動可消耗 210 大卡的熱量。",stop
2,主麥麵包:294太卡,主麥 麵 包 熱量為 294 太卡,主麥 麵 包 熱量為 294 太卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 1 小時二十五分鐘的有氧運動可消耗 294 大卡的熱量。",
3,火腹沙拉三明治:210太卡,火腹 沙拉 三明治 熱量為 210 太卡,火腹 沙拉 三明治 熱量為 210 太卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

約 1 小時的有氧運動可消耗 210 大卡的熱量。",stop
4,田園櫥雞三明治:235大卡,田園 櫥 雞 三明治 熱量為 235 大卡,田園 櫥 雞 三明治 熱量為 235 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

約 1.5 小時的有氧運動可消耗 235 大卡的熱量。",stop
5,叉燒烤香三明治:238大卡,叉燒 烤 香 三明治 熱量為 238 大卡,叉燒 烤 香 三明治 熱量為 238 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

約 1.6 小時的有氧運動可消耗 238 大卡的熱量。",stop
6,海鮮總匯三明治:215太卡,海鮮 總匯 三明治 熱量為 215 太卡,海鮮 總匯 三明治 熱量為 215 太卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

約 1.4 小時的有氧運動可消耗 215 大卡的熱量。",stop
7,葡萄堅果雜糧夷包:174大卡,葡萄 堅果雜 糧夷包 熱量為 174 大卡,葡萄 堅果雜 糧夷包 熱量為 174 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 1 小時的有氧運動才能消耗 174 大卡的熱量。",stop
8,黃金地瓜雜得夷包:224大卡,黃 金 地瓜 雜得 夷 包 熱量為 224 大卡,黃 金 地瓜 雜得 夷 包 熱量為 224 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 1.5 小時的有氧運動才能消耗 224 大卡的熱量。",stop
9,杯雞麵包:225大卡,杯 雞 麵 包 熱量為 225 大卡,杯 雞 麵 包 熱量為 225 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 1.5 小時的有氧運動才能消耗 225 大卡的熱量。",stop
10,南瓜野菜蒸蛋糯:262大卡,南瓜 野菜 蒸蛋 糯 熱量為 262 大卡,南瓜 野菜 蒸蛋 糯 熱量為 262 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 2 小時的有氧運動才能消耗 262 大卡的熱量。",stop
11,番茄肉臨御飯絆:213大卡,番茄 肉臨 御 飯絆 熱量為 213 大卡,番茄 肉臨 御 飯絆 熱量為 213 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 1.5 小時的有氧運動才能消耗 213 大卡的熱量。",stop
12,義式香草雞肉筒伯和轎:188大卡,義式 香草 雞肉 筒 伯 和 轎 熱量為 188 大卡,義式 香草 雞肉 筒 伯 和 轎 熱量為 188 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 1.3 小時的有氧運動才能消耗 188 大卡的熱量。",stop
13,莉爆牛肉御飯神:175大卡,莉 爆 牛肉 御飯 神 熱量為 175 大卡,莉 爆 牛肉 御飯 神 熱量為 175 大卡 請在 20 字內說明要花多少時間運動才能消耗此熱量,"

大約 1.2 小時的有氧運動才能消耗 175 大卡的熱量。",stop
